Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0000],,Lietuva,Valstybė,55.1561115,21.6403867,,,
[P0001],,Anglija,Valstybė,,,,,
[P0002],,Alytaus apskritis,Apskritis,54.2299774,23.6084727,,[P0000],
[P0003],,Kauno apskritis,Apskritis,,,,[P0000],
[P0004],,Klaipėdos apskritis,Apskritis,,,,[P0000],
[P0005],,Marijampolės apskritis,Apskritis,,,,[P0000],
[P0006],,Panevėžio apskritis,Apskritis,,,,[P0000],
[P0007],,Šiaulių apskritis,Apskritis,,,,[P0000],
[P0008],,Tauragės apskritis,Apskritis,,,,[P0000],
[P0009],,Telšių apskritis,Apskritis,,,,[P0000],
[P0010],,Utenos apskritis,Apskritis,,,,[P0000],
[P0011],,Vilniaus apskritis,Apskritis,,,,[P0000],
[P0013],,Alytaus rajonas,Rajonas,,,,[P0002],
[P0014],,Druskininkų savivaldybė,Savivaldybė,,,,[P0002],
[P0015],,Lazdijų rajonas,Rajonas,,,,[P0002],
[P0016],,Varėnos rajonas,Rajonas,,,,[P0002],
[P0018],,Birštono savivaldybė,Savivaldybė,,,,[P0003],
[P0019],,Jonavos rajonas,Rajonas,,,,[P0003],
[P0021],,Kauno rajonas,Rajonas,,,,[P0003],
[P0020],,Kaišiadorių rajonas,Rajonas,,,,[P0003],
[P0022],,Kėdainių rajonas,Rajonas,,,,[P0003],
[P0023],,Prienų rajonas,Rajonas,,,,[P0003],
[P0024],,Raseinių rajonas,Rajonas,,,,[P0003],
[P0026],,Klaipėdos rajonas,Rajonas,,,,[P0004],
[P0027],,Kretingos rajonas,Rajonas,,,,[P0004],
[P0028],,Neringa,Miestas,,,,[P0004],
[P0030],,Skuodo rajonas,Rajonas,,,,[P0004],
[P0029],,Palanga,Miestas,,,,[P0004],
[P0031],,Šilutės rajonas,Rajonas,,,,[P0004],
[P0032],,Marijampolės savivaldybė,Savivaldybė,,,,[P0005],
[P0033],,Kalvarijos savivaldybė,Savivaldybė,,,,[P0005],
[P0035],,Šakių rajonas,Rajonas,,,,[P0005],
[P0034],,Kazlų Rūdos savivaldybė,Savivaldybė,,,,[P0005],
[P0036],,Vilkaviškio rajonas,Rajonas,,,,[P0005],
[P0038],,Biržų rajonas,Rajonas,,,,[P0006],
[P0040],,Panevėžio rajonas,Rajonas,,,,[P0006],
[P0039],,Kupiškio rajonas,Rajonas,,,,[P0006],
[P0041],,Pasvalio rajonas,Rajonas,,,,[P0006],
[P0042],,Rokiškio rajonas,Rajonas,,,,[P0006],
[P0044],,Akmenės rajonas,Rajonas,,,,[P0007],
[P0045],,Joniškio rajonas,Rajonas,,,,[P0007],
[P0046],,Kelmės rajonas,Rajonas,,,,[P0007],
[P0047],,Pakruojo rajonas,Rajonas,,,,[P0007],
[P0048],,Radviliškio rajonas,Rajonas,,,,[P0007],
[P0051],,Jurbarko rajonas,Rajonas,,,,[P0008],
[P0049],,Šiaulių rajonas,Rajonas,,,,[P0007],
[P0050],,Tauragės rajonas,Rajonas,,,,[P0008],
[P0052],,Pagėgių savivaldybė,Savivaldybė,,,,[P0008],
[P0053],,Šilalės rajonas,Rajonas,,,,[P0008],
[P0054],,Telšių rajonas,Rajonas,,,,[P0009],
[P0055],,Mažeikių rajonas,Rajonas,,,,[P0009],
[P0057],,Rietavo savivaldybė,Savivaldybė,,,,[P0009],
[P0056],,Plungės rajonas,Rajonas,,,,[P0009],
[P0058],,Utenos rajonas,Rajonas,,,,[P0010],
[P0060],,Ignalinos rajonas,Rajonas,,,,[P0010],
